Model,Test_F1,Accuracy,Precision,Recall
LightGBM,0.6696679797411368,0.7218009478672985,0.6296296296296297,0.7151442307692307
RandomForest,0.665158371040724,0.7194312796208531,0.6282051282051282,0.7067307692307693
XGBoost,0.6610079575596817,0.6971563981042654,0.5916429249762583,0.7487980769230769
