Model,C-index,CI_lo,CI_hi
Gradient Boosting Survival,0.7092876199507743,0.6909878048907647,0.7272417255181516
Random Survival Forest,0.7069877207891181,0.6878907328422734,0.7260755169644956
Extra Survival Trees,0.704502804491351,0.684869600386334,0.7235308577188876
Coxnet Survival (ElasticNet),0.7058636015227471,0.6876519534167229,0.7234711395697122
Cox Proportional Hazards,0.7046393647584805,0.685706240716352,0.7232321476267811
