0
IDADE
UN_HOSP_HUCAM
OCUPACAO_Ignorado
ESTADIAM_1
ESTADIAM_4
ESTADIAM_Ignorado
PTNM_200
PTNM_20X
PTNM_2XX
PTNM_888
RAZAONT_2.0
RAZAONT_6.0
TABAGISM_3.0
CLINENTR_31.0
CUSTDIAGTUMOR_8.0
CUSTRATAMTUMOR_8.0
